MisconceptionId,MisconceptionName,MisconceptionName_rewrite_1
100,Believes angles in a triangle sum to 360 degrees,
101,Believes that reflection always switches the x and y coordinates,
102,Does not think a factorised expression is equivalent to its multiplied out form,
103,"When completing the square, believes the constant in the bracket is double the coefficient of x",
104,Assumes a sequence is linear,
105,Mixes up sides of a ratio,
106,Believes an arrowhead has four equal sides,
107,"When expanding brackets, multiplies out the first term correctly but adds together the number outside the bracket with the second term inside the bracket.",
108,Uses only the first two terms of a sequence to work out a term-to-term rule,
109,Thinks a factor of the final digit is also a factor of the whole number,
110,Does not know how to find the length of a line segment from coordinates,
111,Does not work out all possibilites when given an 'at least' question in probability,
112,Thinks the difference between the numerator and denominator determines how close the fraction is to 1,
113,Does not recognise difference of two squares,
114,Does not know the meaning of the word parallel,
115,Believes fraction to decimal conversion is done by writing the numerator as a decimal,
116,Believes an outlier is determined by the number of decimal places a number has,
117,"Believes that in completed square form, they need to change the signs of both values to get the turning point",
118,"Given a line segment with a midpoint that is not the origin, assumes that the two end points will still have the same absolute value",
119,Believes distance = speed + time,
120,Does not understand equivalent fractions,
121,Believes midpoint in grouped frequency table is found by multiplying midpoint by frequency,
122,Thinks they can convert percentages to fractions by writing the percentage value as both the numerator and the denominator,
123,Rounds incorrectly when the nearest 10 is a multiple of 100,
124,Believes perpendicular bisectors is the term used to describe two lines that are parallel,
125,Thinks the division sign means to add,
126,Multiplies rather than adds when given the command word 'more',
127,Thinks the fraction to decimal conversion button on a calculator can be used to raise to a power,
128,Does not understand how to read both x and y coordinates,
129,Believes they can change only one side of a ratio and it will remain equivalent,
130,"Believes that for a line written in the form ax + by = c, a is the gradient",
131,Does not think a number can be a factor of itself,
132,Only considers the positive solution when calculating a square root,
133,Believes dividing by a unit fraction is equivalent to dividing by its reciprocal,
134,Misreads scale,
135,Thinks the value of an exterior angle is 360 degrees,
136,Does not recognise a reciprocal equation,
137,Does not know the meaning of the word identity ,
138,"When solving a problem using written division (bus-stop method), does the calculation from right to left",
139,Thinks triple means add three,
140,Believes cumulative frequency is plotted at the lower bound of the class,
141,"In completed square form, confuses the x and y coordinates of the turning point",
142,"When given a linear sequence, cannot match it to a visual pattern",
143,"Thinks that when you cancel identical terms from the numerator and denominator, they just disappear",
144,Mixes up the x and y values of the coordinates,
145,Does not know how to convert percentages with a decimal point into decimals,
146,Has multiplied by the root power,
147,Multiplies instead of dividing when distributing a total amount,
148,Confuses theoretical and experimental probability,
149,Believes P(success) in probability notation means the number of successes,
150,Confuses written 'teen' numbers with their corresponding single-digit number,
151,"When dividing decimals, does not realize that the order and position of the digits (relative to each other) has to remain constant.",
152,"Believes that the smaller a divisor is, the smaller the answer will be",
153,"When dividing decimals with the same number of decimal places as each other, assumes the answer also has the same number of decimal places",
154,Assumes an angle has been split into equal parts,
155,Forgets to apply inverse trigonometric function when finding an angle,
156,Confuses the graph of a linear equation with a quadratic equation,
157,Believes squared units can be used to measure lengths,
158,"Believes addition comes before indices, in orders of operation",
159,Does not divide by 2 when calculating the area of a triangle,
160,Believes that adding a positive to a negative makes your answer more negative,
161,Answers as if there are 100 minutes in an hour when changing from hours to minutes,
162,Uses first term as numerical part of nth term rule,
163,Thinks only one variable can introduce bias,
164,Does not reduce the denominator when an item is not replaced in a probability question,
165,"Believes that in y=mx+c, m is the x-intercept",
166,"Believes that in completed square form, they need to change the sign of the constant to get the turning point",
167,Does not recognise factorising a quadratic,
168,Believes composite function notation means to substitute the outer function into the inner function,
169,"When subtracting a fraction from a mixed number, assumes they just subtract the numerator from the integer of the mixed number",
170,Does not understand that when dividing both sides of an equation by an amount every term must be divided by the same amount,
171,"When simplifying surds, does not multiply the number in front of the surd with the square root of the largest square number that has been removed from the surd",
172,"When subtracting fractions, subtracts the numerators and denominators",
173,"Believes that if more than one number in a multiplication is divided by the same power of ten, the answer will be divided by the same power of ten. ",
174,Confuses major and minor sector,
175,"Thinks that when multiplying decimals (less than 1), the number will get bigger",
176,Believes that a reciprocal equation is defined when the denominator is 0,
177,"When the change in value is greater than the original amount, thinks percentage change = original/change x 100",
178,Thinks that the 10 becomes a 20 when adding in standard form ,
179,Does not understand the difference between a value on a graph and the gradient of a graph,
180,Writes the digit 3 times instead of cubing,
181,Assumes a ratio is part to part instead of part to whole,
182,Believes parallel lines have gradients of opposite signs,
183,Has confused cube numbers with prime numbers,
184,Believes the space diagonal is the same length as the diagonal on the bottom face of a cuboid,
185,Thinks a positive y value in a column vector means to move down rather than up ,
186,Does not understand the meaning of the word commutative ,
187,Thinks there are 10cl in a litre,
188,Believes interquartile range is the difference between one of the quartiles and the minimum value,
189,"When multiplying decimals, ignores place value and just multiplies the digits",
190,"Does not account for grammar when writing algebra e.g. ,then making a group",
191,Believes that product means add rather than multiply,
192,Does not know how to calculate the volume of a prism,
193,Believes a cyclic quadrilateral can be self-intersecting,
194,"Believes the sides of a square must be horizontal and vertical, not diagonal",
195,"When solving an equation, thinks the divisor and dividend are the opposite way around",
196,Confuses a variable with an equation,
197,"Believes an outlier is the value in a data set with the biggest denominator, even if this value is close to the mean",
198,"When multiplying a decimal by a power of 10, just adds a zero to the end of the number, not changing the place value of the digits",
199,"Believes that when multiplying a number with a power, the multiplier is added onto the power",
200,"When solving simultaneous equations, thinks they multiply both equations by the LCM of the coefficients of the term being eliminated",
201,Believes substituting the starting value into an iteration formula immediately gives the solution,
202,"When asked to add fractions, multiplies instead",
203,Thinks that dividing both numbers in a multiplication sum by the same power of 10 results in equal answers,
204,Confuses scalene and equilateral triangles,
205,Thinks there are 1000mm in a km,
206,Thinks a cylinder is a prism,
207,Confuses the terms faces and edges,
208,Believes a composite function requires you to place the inner function next to the variable of the outer function instead of replacing it,
209,"When multiplying a vector by a fraction, adds the numerator to the top number of the vector, and the denominator to the bottom number of the vector. ",
210,Thinks the term in a sequence is double the position value,
211,Believes displacement continues to increase even when returning to starting point,
212,Solves for y=0 instead of given y-value when reading from a quadratic graph,
213,Thinks there are 10 mg in a gram,
214,Does not understand the 'less than' inequality notation,
215,"When asked for a specific term in a sequence, just gives the position number",
216,Believes the smallest number in a set of numbers is always their highest common factor,
217,"When adding fractions, adds the numerators and denominators",
218,Does not interpret a sloping gradient as a change in rate,
219,Does not know that a right angle is 90 degrees,
220,Only multiplies the first term in the expansion of a bracket,
221,Thinks ratios are written as 1:total,
222,Does not know the meaning of absolute value,
223,Mixes up cubing with multiplying by 10,
224,Forgets to swap the sign of roots when placing into brackets,
225,Confuses frequency of one class with cumulative frequency,
226,Thinks rectangles have line symmetry in the diagonals ,
227,Ignores a more than question and just states one of the values,
228,Divides rather than subtracts when given the command 'less than',
229,Does not account for scale on diagram,
230,Thinks 1l = 1 cubic metre,
231,Thinks we can't write an equivalent multiplication sum for a division sum by using a reciprocal,
232,"When dividing by a fraction, switches to multiplication without also using the reciprocal",
233,"Cannot estimate the relative volume order, for different objects",
234,Subtracts instead of adds,
235,Thinks adjacent angles are equal,
236,Thinks corresponding angles sum to 180 degrees,
237,Believes a line of best fit can be drawn on a scatter graph with no relationship or correlation,
238,"When finding the mean of the data in a stem and leaf diagram, thinks you find the mean of the stem numbers",
239,Finds a common multiple but not the lowest common multiple,
240,"Misunderstands how to calculate the lower bound in a division, believes it is found by dividing both upper bounds","Misunderstands the relationship between upper bounds, lower bounds, and division, specifically believes that the lower bound of a quotient can be calculated by dividing both upper bounds, showing a lack of understanding that the lower bound is determined by dividing the lower bound of the dividend by the upper bound of the divisor."
241,Thinks co-interior angles sum to 360 degrees,"Thinks co-interior angles formed by a transversal with a pair of parallel lines sum to 360 degrees, rather than understanding that co-interior angles are supplementary (add up to 180 degrees)."
242,Thinks the hundred thousands column is the ten thousands column,"Confuses place values within five-digit or larger numbers, specifically misidentifying the hundred thousands column as the ten thousands column, leading to computation errors or misinterpretation of numerical values."
243,Identifies a common factor but not the highest common factor,"Fail to identify the greatest common divisor (GCD), instead settling for a common factor as the solution when simplifying fractions or finding equivalent ratios."
244,Believes the solution of mx + c = 0 is x = m,"Ignores the need to isolate the variable in linear equations, specifically when dividing by coefficients, incorrectly assuming the solution to mx + c = 0 is solely x = m, rather than x = -c/m."
245,Does not realise that to maintain balance in an equation they must add or subtract the same amount from both sides,"Does not realise that to maintain balance in an equation, they must apply inverse operations or the same operation (i.e., adding or subtracting, multiplying or dividing) with the same value or expression to both sides of the equation, rather than changing one side independently."
246,Does not think a kilogram is a unit of mass,"Does not think a kilogram is a unit of mass, often confusing it with other units of measurement such as volume or weight and may incorrectly apply it to quantities of liquids or area."
247,Found the percentage but added it to 100%,"Failed to apply percentage changes correctly by adding the percentage to the original total (100% or baseline), rather than treating it as a proportion of the original total, and adjusting the calculation accordingly."
248,Believes a pie chart makes 360% not 360 degrees,"Misinterprets or confuses percentage and degree measurements, particularly in circular figures such as pie charts, leading to incorrect calculations or understanding of proportions."
249,Does not understand a denominator represents equal parts,"""Does not understand that a denominator represents equal parts in a fraction, often leading to incorrect simplification, scaling, or comparison of fractions."""
250,Believes a fraction cannot have a numerator of 0,"Believes that a fraction cannot have a numerator of 0, and therefore may incorrectly apply rules for undefined or invalid mathematical expressions, or may be overly restrictive when simplifying or manipulating fractions."
251,"Includes a data point with the value, when asked to find the number of data points below a value","Fails to distinguish between values being less than or less than/equal to a given value when determining the number of data points, resulting in incorrect counts due to inclusion or exclusion errors."
252,Does not think 'other' is an acceptable category for data,"Does not understand or recognize the concept of an 'other' or 'miscellaneous' category, and instead attempts to force data into predefined categories that may not be suitable or relevant, indicating a lack of flexibility or awareness of data classification principles."
253,Does not recognise that all lengths on a cube are equal,"Does not recognise or apply the geometric property that all lengths (e.g., edges or sides) on a cube or square prism are equal."
254,Believes all triangle numbers are odd,"Believes all triangle numbers, or the sum of consecutive integers starting from 1, are odd and applies this incorrect generalization to pattern recognition and arithmetic problems involving specific sequences or series."
255,Does not know the meaning of the word regular ,"Does not know the meaning of specified terms or concepts within a mathematical context (e.g. the meaning of the word ""regular"" in reference to shapes or polyhedra)."
256,Does not reverse the order of operations when solving an equation,"Failure to adhere to the order of operations or BEDMAS/BODMAS (Brackets/Braces, Exponents/Orders, Division, Multiplication, Addition, and Subtraction) when solving an equation, resulting in incorrect application of operations and/or failure to first solve within brackets or parentheses."
257,Uses numerator as whole part of a fraction,"Misinterprets division or fraction problems by using the numerator as the whole, failing to account for the denominator, and neglecting to perform the correct division operation."
258,"When finding a missing number in a factor tree, multiplies by the factor given rather than dividing.","Fails to apply division operation to find the missing number in a factor tree, instead uses multiplication with the given factors, possibly due to a misunderstanding of the relationship between multiplication and division in this context."
259,"Thinks that when drawing the elevation, the bottom layer does not need to be included ","Thinks that specific features, such as the base, bottom layer, or foundation, are irrelevant or unnecessary when constructing a visual representation of an object or shape, such as an elevation or cross-section, resulting in an incomplete representation."
260,Thinks cubing a number means adding 3 to that number,"Confuses exponentiation with arithmetic addition, mistaken operation applied to bases of exponents, specifically believing that cubing a number involves adding 3 to that number rather than raising it to the power of 3."
261,When multiplying just writes the numbers next to each other,"Fails to properly apply the multiplication operation or concept, instead simply writing the numbers next to each other or incorrectly adding the numbers together, indicating a lack of understanding of the multiplication process or incorrect recall of multiplication facts."
262,Believes the intersection in a prime factor venn diagram does not contribute to the size of the number represented by a circle ,"""Fails to recognize the intersection in a prime factor Venn diagram as a shared factor, and/or does not understand its multiplicative contribution to the overall product represented by each circle, leading to incorrect calculations or failure to take the common factor into account."""
263,"Does not understand direction of North East, North West, South East and South West cardinal points","Has difficulty understanding or applying direction based on the cardinal points (North, South, East, West) and their intermediate directions (North East, North West, South East, South West) in various spatial contexts, including geometry, geography, and navigation."
264,Subtracted rather than divided by a scale factor,"Failed to recognize the inverse relationship between multiplication and division, resulting in subtracting rather than dividing by a scale factor or multiplier when adapting or scaling quantities, resulting in an incorrect proportional relationship, possibly due to a misunderstanding of unit conversion or ratio equivalence."
265,Does not realise a quadratic must be in the form ax^2+bx+c=0 to be factorised,"Does not understand that a quadratic expression must be in the standard form ax^2+bx+c=0 to be factorised or solved using factoring methods, which requires the equation to be set equal to zero before attempting to factor."
266,Identifies a letter as a common factor but doesn't identify a number as a common factor,"Overemphasizes the role of variables in determining common factors, and has difficulty recognizing numerical values as greatest/common factors, such as when a numerical constant is the smallest shared factor among terms."
267,Writes the variable before the coefficient in an algebraic term,Fails to follow conventional algebraic notation by incorrectly ordering or representing coefficients and variables in terms.
268,Believes lines of reflection must be vertical or horizontal,"Fails to recognize that lines of reflection can be at any angle, or incorrectly assumes that the line of reflection must always be parallel or perpendicular to a specific axis, shape, or object."
269,"When finding the distance between 2 points, believes the distance is the coordinate of the furthest point from origin","Fails to account for both the horizontal and vertical displacements between two points when calculating the distance, mistakenly relying on the coordinate of the furthest point from the origin or taking only a single coordinate difference, rather than applying the distance formula that finds the shortest path between the two points using a combination of changes in both the x and y coordinates."
270,Thinks the term polygons only applies to shapes with more than 3 sides,"Confuses or misinterprets geometric terminology by overgeneralizing or misapplying basic properties, specifically, thinks the term 'polygons' or related terms only applies to shapes with more than 3 sides or higher order characteristics rather than any two-dimensional closed shape with at least three sides."
271,Believes triangle numbers are formed differently to the correct way,"Confuses the formation or calculation of triangle numbers, such as mistakenly adding consecutive integers from 1 without accounting for the correct cumulative sum, misunderstanding the relationship between triangle numbers and the sequence of natural numbers, or applying an incorrect formula or pattern to generate triangle numbers."
272,When finding a missing side of a parallelogram given the area completes an extra step of dividing by 2,"""Fails to apply the area formula of a parallelogram correctly by unnecessarily dividing the area by 2 when finding a missing side, assuming the area must be halved, rather than using the formula A = base * height and solving for the unknown side."""
273,Thinks 1l = 1 cubic centimetre,"Thinks that 1 liter is equal to 1 cubic centimeter, failing to recognize that 1 liter is equal to 1000 cubic centimeters (or milliliters) and that the conversion is necessary when solving problems involving volume units."
274,Confuses angle of a sector with the radius,"""Confuses angle of a sector with the central angle, radius, circumference, or other geometric properties, particularly in contexts involving proportions, measure calculations, or spatial reasoning related to circles and sectors."""
275,"When finding a point on a line, assumes the point is always the midpoint","When finding a point on a line, assumes the point is always the midpoint, or fails to correctly apply midpoint formula or proportional reasoning when determining a specific point's location on a line, often leading to incorrect identification of a point's coordinates or proportion of the line segment."
276,Adds rather than multiplies when scaling up in direct proportion problems,"Fails to apply proportional reasoning in scaling-up problems, instead incorrectly using addition to calculate new values rather than multiplication, leading to linear rather than proportional increase."
277,Thinks pressure is force per unit volume,"""Does not distinguish between pressure and stress, or incorrectly applies the pressure formula, often resulting in a confusion between pressure (force per unit area) and force per unit volume."""
278,Believes a power of 2 has no impact on its value,"Ignores or underestimates the effect of exponentiation, specifically believing that a power of 2 (or other exponents) does not significantly change the original number's value, leading to incorrect calculations or estimates when performing operations involving powers of 2."
279,Mixes up square rooting and cube rooting,"Fails to apply the correct inverse operation of squaring and cubing, often confusing the procedures for finding square roots and cube roots, including but not limited to selecting the incorrect root type or misinterpreting the degrees of exponents when determining roots."
280,Describes lines when asked to describe angles,"Describes lines or line segments as the answer when asked to describe or identify angles, possibly due to confusion between the role of lines in forming angles and the angles themselves, or a lack of understanding that angles are distinct geometric entities measured by the amount of rotation between the lines that form them."
281,Thinks that if two lines do not intersect on a diagram then they will never intersect and are therefore parallel,"Fails to consider that lines may intersect outside the visible section of a diagram, such as at a point beyond the portion shown or in a part of the diagram not depicted, mistakenly concluding that non-intersecting lines in the given representation are parallel."
282,Does not understand that a point on the line of reflection will stay the same when reflected ,"Does not understand that a point on the line of reflection will remain unchanged, and often applies reflection rules incorrectly to points on the line, expecting them to move or change coordinates after a reflection."
283,Believes reflection in y = -x switches x and y coordinates,"Does not recognize or apply the effect of the negative sign in the equation y = -x, specifically expecting a simple swapping of the x and y coordinates instead of reflecting the point across the line y = -x, resulting in a corresponding change in the sign of the new coordinate that is opposite in sign to the original."
284,Believes the gradient of a speed-time graph is the speed,"Confuses the gradient of a speed-time graph with the speed itself, instead of recognizing it as the acceleration."
285,Lines up the digits incorrectly when doing an addition involving two numbers with a different amount of digits,"Fails to consider the place value alignment or properly adjust the positioning of the digits when performing addition with numbers of varying digit lengths, often resulting in the incorrect placement or handling of the place values, digits, or resulting sums."
286,"when subtracting a fraction from an integer, just adds their absolute value and places a negative sign in front","When subtracting a fraction from an integer, incorrectly handles the operation by either: adding their absolute values and placing a negative sign in front, ignoring the integer and only considering the sign of the fraction, or only subtracting the whole number part of the fraction while ignoring the fractional part."
287,Thinks y = ? is a vertical line through ?,"Thinks that the equation y = [constant value] represents a vertical line through a point identified by the constant value on the y-axis, failing to consider that the actual line extends infinitely in both the positive and negative x-directions."
288,Does not break down all factors in a factor tree to primes,"Fails to factor or fully factor expressions, often stopping at composite factors or failing to break down all factors in a factor tree to primes, which can lead to incomplete or incorrect simplification, cancellation, or solution."
289,Writes the numerator and the denominator the wrong way round in a probability,"Writes the numerator and the denominator the wrong way round in a probability, often due to a misunderstanding of the specific event/outcome being measured and the total possible outcomes, or incorrectly copying the fraction from the problem context or previous calculation."
290,Thinks a decreasing sequence cannot be quadratic,"Fails to recognize that quadratic functions can exhibit decreasing sequences, and instead associates decreasing sequences only with linear or exponential functions with negative growth rates."
291,Thinks a negative y value in a column vector means to move up rather than down,"Thinks the sign of a vector component in a specific direction (e.g., y-axis) determines the opposite direction of intended movement (e.g., misconstruing a negative y value to move up or a positive y value to move down, or similarly for x-axis, z-axis, etc., in higher dimensions), rather than correctly moving in the direction indicated by the sign in a coordinate system."
292,Converts fraction to percentage by putting % sign after the denominator,"Fails to apply proper conversion rules when converting between fractions and percentages, often by merely appending a percentage sign or incorrectly rearranging the fraction."
293,Does not understand that similar shapes sides must all have the same scale factor,"Does not understand that similar shapes must have proportional sides, and all corresponding sides must have the same scale factor, often assuming that a partial proportionality or selective scaling is sufficient for similarity."
294,Thinks that only the sides need to be equal for a polygon to be regular,"Thinks that only the side lengths need to be equal for a polygon to be regular, neglecting the equal angle measure requirement in a regular polygon."
295,Does not know the word and/or does not know the function of a compass,"Does not know the definition of/relation between the concept (word) and/or lacks understanding of the tool's function (compass) or operation, leading to difficulty applying the concept or tool in mathematical problems."
296,Ordered fractions by comparing denominators rather than using equivalent fractions.,"Ordered fractions incorrectly by comparing denominators rather than using equivalent fractions, such as incorrectly applying ascending/descending order rules due to misunderstanding of fraction equivalency or omission of necessary steps to obtain a common denominator or comparator."
297,Forgets you need a compass to draw arcs,"Fails to recognize or apply the use of required specialized tools, such as compasses or protractors, when performing specific geometric constructions or calculations, resulting in incomplete or inaccurate solutions."
298,Confuses a constant with a variable,"""Confuses a constant with a variable, neglecting to apply mathematical operations correctly to the constant or incorrectly treating a numerical value as a variable that can take on different values."""
299,"When solving time problems, finds the difference in the hours and the difference in the minutes but then assumes the minutes will be added on to the number of hours","When solving time problems, incorrectly combines the hour and minute components by finding the difference in the hours and the difference in the minutes, then incorrectly adds the difference in minutes as a separate unit to the hours, rather than converting the minutes to hours or considering them as a separate quantity."
300,Believes a direct proportion graph does not have to start at the origin,"Fails to recognize that a direct proportion graph must pass through the origin, resulting in the misconception that a line representing direct proportion can have a non-zero y-intercept or start at any point other than (0,0)."
301,Thinks you can multiply by a decimal to find a multiple of a number,"Thinks that multiplication and division operations are interchangeable, or mistakenly uses multiplication by a decimal or fraction to find a multiple or part of a number, rather than adding or subtracting."
302,Assumed each part of a fraction diagram is worth 10%,"Assumes equal parts of a fraction diagram or shape are always divided into a convenient number of equal parts, such as 10 equal parts, without considering the actual number of parts or percentage value each part represents."
303,"Believes that when eliminating a variable, if the signs of the terms with matching coefficients are the same, we do the operation inverse to the sign (- if positive, + if negative)","Incorrectly applies the concept of eliminating a variable by inverting the operation of like terms, specifically confusing the effect of the sign on the operation, mistakenly using addition when the same-sign terms with matching coefficients require subtraction to eliminate the variable, or vice versa."
304,Believes knowing the perimeter of squares does not give you enough information to find the perimeter of combines shapes using those squares,"Fails to apply known geometric properties and relationships, such as the perimeter of a square, to more complex shapes composed of those squares in various arrangements, often assuming that the properties of individual components cannot be generalized or combined to solve larger problems."
305,Does not know the formula for area of a trapezium,"Does not understand or recall the formula for the area of a trapezium, or incorrectly applies other area formulas (e.g., triangle, rectangle, or parallelogram) to trapezium problems."
306,Added rather than multiplied by a scale factor,"Added a quantity rather than scaling or multiplying it by a required factor, unit conversion rate, or percentage, often failing to distinguish between addition and multiplication in scaling contexts."
307,"When using Pythagoras to find the height of an isosceles triangle, uses the whole base instead of half","When using Pythagoras to find the height of an isosceles triangle, incorrectly applies the theorem by using the full base length instead of half the base length in calculations, failing to account for the triangle being split into two right-angled triangles."
308,Believes that dividing by 100 gives 10%,"""Confuses percentage calculations, incorrectly assuming that dividing by 100 indicates 'of the whole', resulting in incorrect identification of percentages, ratios or proportions in various mathematical contexts."""
309,Believes angles on a straight line add to 90 degrees,"""Fails to recognize that angles on a straight line add up to 180 degrees, not 90 degrees, and incorrectly applies this understanding when solving angle-related problems, even in contexts where angles form a straight line but not necessarily a right angle."""
310,"Guesses when something is ""twice as high/much"", rather than multiplying by 2","Guesses or exhibits limited understanding of proportional relationships and multiplication factors, resulting in incorrect application of comparative language such as ""double,"" ""twice as high/much,"" or other multiplier descriptions, leading to an inaccurate quantitative response."
311,Believes gradient is the sum of y the coordinates divided by the sum of the x co-ordinates ,"Fails to apply the correct formula of slope (gradient) calculation, incorrectly assuming that it is the sum of y-coordinates divided by the sum of x-coordinates, rather than the change in y divided by the change in x between two points."
312,"In ratio question where the difference between the sides is given, uses that as the total for one side instead","Fails to distinguish between part and whole quantities in proportion or ratio problems, leading to errors such as using the difference between two quantities as the total amount of one quantity instead of understanding its proportional relationship."
313,Believes edges of a 3D shape do not include edges of base,"Fails to consider or account for edges of the base when calculating or analyzing the total edges of a three-dimensional shape, often resulting in an incorrect count by only considering the lateral edges."
314,"When calculating the power of a negative number, thinks they can ignore the sign when multiplying and then put a negative sign back on at the end, regardless of the power ","Fails to apply the rules of exponents for negative bases consistently, attempting to simplify by either ignoring the negative sign while evaluating the product and incorrectly adding the sign back based on their own rules or not fully considering the properties of even and odd exponents when determining the sign of the result."
315,Has not realised that the answer may be changed by the insertion of brackets,"Ignores or misapplies the order of operations, specifically failing to recognize the impact of introducing or omitting brackets in mathematical expressions, which can alter the correct order of calculation and thus change the final answer."
316,Mixes up primary and secondary data types,"""Fails to accurately distinguish and apply primary data types (direct measurement or observation) versus secondary data types (derived from primary data through calculations, transformations, or inferences), potentially leading to incorrect interpretation or manipulation of data."""
317,"When multiplying fractions, adds the numerators and multiplies the denominators","When multiplying fractions, incorrectly applies the rule for adding fractions by adding the numerators and multiplying the denominators, instead of multiplying the numerators and multiplying the denominators."
318,"Assumes that converting a decimal percentage to a fraction, they can just convert the decimal to a fraction, instead of writing the decimal over 100.","Fails to recognize that converting a decimal percentage to a fraction requires expressing the decimal over 100, instead simply converting the decimal part to a fraction, neglecting the original percentage context."
